,event_info,num_ips,has_multiple_ip_ranges,unique_ip_countries,critical
330,"2019-01-31: ISFB v2 Installs Dridex ""3101""",0,0,0,0.0
331,2019-03-08: TerraLoader Signed -> JS RAT,0,0,0,0.0
332,OSINT - STUXSHOP The Oldest Stuxnet Component Dials Up,0,0,0,0.0
333,"2019-07-18: Newer ""PoSeidon"" aka ""FindPOS"" aka ""FindStr"" 15.10 Point-of-Sale Malware",0,0,0,0.0
334,On-memory post exploit payloads from encoded binary,1,0,1,0.0
335,2019-12-10: TrickBot Project â€œAnchor:â€ Window Into Sophisticated Operation,0,0,0,0.0
336,Emotet in Depth TTP 10-07-19,0,0,0,0.0
337,OSINT - Introducing BIOLOAD: FIN7 BOOSTWRITEâ€™s Lost Twin,0,0,0,0.0
338,Muhstik Botnet Attacks Tomato Routers,3,1,1,0.0
339,Updating: Tracking Powershell Empire C2 via Urlscan,11,1,1,0.0
340,Trickbot to Ryuk in Two Hours,9,1,1,0.0
341,KuGou trojan backdoor campaign aim RDP on HFS panels,3,1,1,0.0
342,OSINT - TA505 IoC - 2020-06-06,1,0,1,0.0
343,Linux/CDRThief — Indicators of Compromise - Who is calling? CDRThief targets Linux VoIP softswitches,6,1,1,0.0
344,"RegretLocker - compiled information, activity and samples",1,0,1,0.0
345,OSINT - Egregor RaaS Continues the Chaos with Cobalt Strike and Rclone,5,1,1,0.0
346,OSINT - New campaign targeting security researchers,0,0,0,0.0
347,OSINT - Kobalos – A complex Linux threat to high performance computing infrastructure,0,0,0,0.0
348,OSINT - AN ANALYSIS OF THE EGREGOR RANSOMWARE,1,0,1,0.0
349,OSINT - IronNetInjector: Turla’s New Malware Loading Tool,0,0,0,0.0
350,OSINT  - Analyzing attacks taking advantage of the Exchange Server vulnerabilities,0,0,0,0.0
351,"Malware Discovered in Popular NPM Package, ua-parser-js",0,0,0,0.0
352,CYBERCOM_Malware_Alert -  MuddyWater has been seen using a variety of techniques to maintain access to victim networks.,0,0,0,0.0
353,"OSINT - North Korea’s Lazarus APT leverages Windows Update client, GitHub in latest campaign",0,0,0,0.0
354,CISA - Malware Analysis Report (AR22-055A) - MAR–10369127–1.v1 - MuddyWater,7,1,1,0.0
355,OSINT - Russia's APT28 uses fear of nuclear war to spread Follina docs in Ukraine,1,0,1,0.0
356,CSSF - Warnings,0,0,0,0.0
357,OSINT - Reservations Requested: TA558 Targets Hospitality and Travel,1,0,1,0.0
358,DangerousSavanna: Two-year long campaign targets financial institutions in French-speaking Africa,11,1,1,0.0
359,Hezb cryptomining malware,3,1,1,0.0
360,"Buzzing in the Background: BumbleBee, a New Modular Backdoor Evolved From BookWorm",0,0,0,0.0
361,OSINT - Linux malware found on a single compromised Linux host,0,0,0,0.0
362,Malicious GitHub user and account - distributing malicious code and running  Sordeal-Stealer,0,0,0,0.0
363,Is Hagga Threat Actor (ab)using FSociety framework ?,3,1,1,0.0
364,An Analysis of Infrastructure linked to the Hagga Threat Actor,16,1,1,0.0
365,FIN8-LINKED ACTOR TARGETS CITRIX NETSCALER SYSTEMS,2,1,1,0.0
366,Diving Deep into UNC4841 Operations Following Barracuda ESG Zero-Day Remediation (CVE-2023-2868),62,1,1,0.0
367,CustomerLoader: a new malware distributing a wide variety of payloads,4,1,1,0.0
368,BiBi-Linux: A New Wiper Dropped By Pro-Hamas Hacktivist Group,0,0,0,0.0
369,Phishing targeting Luxembourg services (hosted and served on/from AWS),5,1,1,0.0
370,"OSINT -  BattleRoyal, DarkGate Cluster Spreads via Email and Fake Browser Updates",2,1,1,0.0
371,OSINT - ConnectWise ScreenConnect attacks deliver malware,0,0,0,0.0
372,BatLoader Continues to Abuse Google Search Ads to Deliver Vidar Stealer and Ursnif,0,0,0,0.0
373,OSINT - #StopRansomware: Akira Ransomware,0,0,0,0.0
374,TR-87 - CrowdStrike Agent causing BSOD loop on Windows - Faulty Update on Falcon Sensor,0,0,0,0.0
375,OSINT - GreyNoise Observes Active Exploitation of Cisco Vulnerabilities Tied to Salt Typhoon Attacks,29,1,1,0.0
376,New Malware â€˜Roverâ€™ Targets Indian Ambassador to Afghanistan,1,0,1,0.0
377,"New Android Trojan â€œXbotâ€ Phishes Credit Cards and Bank Accounts, Encrypts Devices for Ransom",2,1,1,0.0
378,A Look Into Fysbis: Sofacyâ€™s Linux Backdoor,1,0,1,0.0
379,ELF Linux/Torte infection (in Wordpress) - MMD-0050-2016,4,1,1,0.0
380,A case of java trojan (downloader/RCE) for remote minerd hack - MMD-0049-2016,1,0,1,0.0
381,DDOS.TF = (new) ELF & Win32 DDoS service with ASP + PHP/MySQL MOF webshells - MMD-0048-2016,6,1,1,0.0
382,Letâ€™s ride with TeslaCrypt,1,0,1,0.0
383,The return of HackingTeam with new implants for OS X,1,0,1,0.0
384,Angler EK send Teslacrypt,4,1,1,0.0
385,New OS X Ransomware KeRanger Infected Transmission BitTorrent Client Installer,0,0,0,0.0
386,"SAMSAM: THE DOCTOR WILL SEE YOU, AFTER HE PAYS THE RANSOM",0,0,0,0.0
387,KillDisk and BlackEnergy Are Not Just Energy Sector Threats,9,1,1,0.0
388,Large malvertising campaign hits popular Dutch websites,2,1,1,0.0
389,Looking Into a Cyber-Attack Facilitator in the Netherlands,0,0,0,0.0
390,Operation Groundbait: Espionage in Ukrainian war zones,6,1,1,0.0
391,Malware used in the Cyberespionage against RUAG,0,0,0,0.0
392,Windows Background Intelligent Transfer Service (BITS) used to download malware,0,0,0,0.0
393,New Sofacy Attacks Against US Government Agency,1,0,1,0.0
394,Patchwork â€“ Targeted Attack (APT),56,1,1,0.0
395,Oracle PoS hack,62,1,1,0.0
396,"PokÃ©mon-themed Umbreon Linux Rootkit Hits x86, ARM Systems",0,0,0,0.0
397,Threat Spotlight: GozNym,0,0,0,0.0
398,Pawn Storm Ramps Up Spear-phishing Before Zero-Days Get Patched,0,0,0,0.0
399,New Carbanak / Anunak Attack Methodology,4,1,1,0.0
400,New wave of Mirai attacking home routers,15,1,1,0.0
401,The rise of TeleBots: Analyzing disruptive KillDisk attacks,3,1,1,0.0
402,Carbanak group uses Google for malware command-and-control,0,0,0,0.0
403,Nile Phish: Large-Scale Phishing Campaign Targeting Egyptian Civil Society,3,1,1,0.0
404,"Several polish banks hacked, information stolen by unknown attackers",29,1,1,0.0
405,EternalBlue Exploit Actively Used to Deliver Remote Access Trojans,6,1,1,0.0
406,Industroyer: Biggest threat to industrial control systems since Stuxnet,5,1,1,0.0
407,Microsoft Office Vulnerabilities Used to Distribute Zyklon Malware in Recent Campaign,10,1,1,0.0
408,Sofacy Attacks Multiple Government Entities,0,0,0,0.0
409,CVE-2018-4878 (Flash Player up to 28.0.0.137) and Exploit Kits,3,1,1,0.0
410,CVE-2018-8174 (VBScript Engine) and Exploit Kits,7,1,1,0.0
411,The King is dead. Long live the King!,0,0,0,0.0
412,MirageFox: APT15 Resurfaces With New Tools Based On Old Ones,0,0,0,0.0
413,Down but Not Out: A Look Into Recent Exploit Kit Activities,10,1,1,0.0
414,Apache Struts 2 Vulnerability (CVE-2018-11776) Exploited in CroniX Crypto-Mining Campaign,1,0,1,0.0
415,Operation Comando: How to Run a Cheap and Effective Credit Card Business,0,0,0,0.0
416,New HawkEye Reborn Variant Emerges Following Ownership Change,14,1,1,0.0
417,"Sea Turtle keeps on swimming, finds new victims, DNS hijacking techniques",9,1,1,0.0
418,"Divergent: ""Fileless"" NodeJS Malware Burrows Deep Within the Host",36,1,1,0.0
419,Mahalo FIN7: Responding to the Criminal Operatorsâ€™ New Tools and Techniques,1,0,1,0.0
420,FIN6 Compromised E-commerce Platform via Magecart to Inject Credit Card Skimmers Into Thousands of Online Shops,0,0,0,0.0
421,"AutoIT-compiled Negasteal/Agent Tesla, Ave Maria Delivered via Malspam",0,0,0,0.0
422,BRONZE PRESIDENT Targets NGOs,1,0,1,0.0
423,AZORult spreads as a fake ProtonVPN installer,0,0,0,0.0
424,Shlayer Trojan attacks one in ten macOS users,0,0,0,0.0
425,Operation Poisoned News: Hong Kong Users Targeted With Mobile Malware via Local News Links,2,1,1,0.0
426,New RedLine Stealer Distributed Using Coronavirus-themed Email Campaign,1,0,1,0.0
427,Grandoreiro: How engorged can an EXE get?,0,0,0,0.0
428,The Golden Tax Department and the Emergence of GoldenSpy Malware,0,0,0,0.0
429,TA551 (Shathak) Word docs push IcedID (Bokbot),0,0,0,0.0
430,APT Group Chimera - APT Operation Skeleton key Targets Taiwan Semiconductor Vendors,0,0,0,0.0
431,TA551 (SHATHAK) Word documents with macros pushing ICEDID malware,7,1,1,0.0
432,"Goodbye Mworm, Hello Nworm: TrickBot Updates Propagation Module",0,0,0,0.0
433,njRAT Spreading Through Active Pastebin Command and Control Tunnel,0,0,0,0.0
434,xHunt Campaign: Newly Discovered Backdoors Using Deleted Email Drafts and DNS Tunneling for Command and Control,0,0,0,0.0
435,JavaScript RAT Looking for that Government Cheese,2,1,1,0.0
436,A Deep Dive into Lokibot Infection Chain,1,0,1,0.0
437,Bizarro banking Trojan expands its attacks to Europe,0,0,0,0.0
438,Malware Analysis: Ragnarok Ransomware,1,0,1,0.0
439,APT Actors Exploiting Fortinet Vulnerabilities to Gain Access for Malicious Activity,0,0,0,0.0
440,IndigoZebra APT continues to attack Central Asia with evolving tools,0,0,0,0.0
441,"FIN8 Threat Actor Spotted Once Again with New ""Sardonic"" Backdoor",1,0,1,0.0
442,The SideWalk may be as dangerous as the CROSSWALK,3,1,1,0.0
443,Bahraini Government Hacks Activists with NSO Group Zero-Click iPhone Exploits,7,1,1,0.0
444,Financial Institutions in the Sight of New JsOutProx Attack Waves,0,0,0,0.0
445,Vermilion Strike: Linux and Windows Re-implementation of Cobalt Strike,1,0,1,0.0
446,MeteorExpress | Mysterious Wiper Paralyzes Iranian Trains with Epic Troll,0,0,0,0.0
447,A wolf in sheep's clothing: Actors spread malware by leveraging trust in Amnesty International and fear of Pegasus,3,1,1,0.0
448,Monitoring Winnti 4.0 C2 Servers for Two Years,34,1,1,0.0
449,"PowerPoint attachments, Agent Tesla and code reuse in malware",0,0,0,0.0
450,Suspected Russian Activity Targeting Government and Business Entities Around the Globe,17,1,1,0.0
451,The BlueNoroff cryptocurrency hunt is still on,3,1,1,0.0
452,TinyNuke Banking Malware Targets French Entities,0,0,0,0.0
453,Campaigns abusing corporate trusted infrastructure hunt for corporate credentials on ICS networks,42,1,1,0.0
454,Indicators of Compromise Associated with LockBit 2.0 Ransomware,11,1,1,0.0
455,ModifiedElephant APT and a Decade of Fabricating Evidence,0,0,0,0.0
456,Log4j2 In The Wild | Iranian-Aligned Threat Actor “TunnelVision” Actively Exploiting VMware Horizon,7,1,1,0.0
457,BlackCat/ALPHV Ransomware Indicators of Compromise,13,1,1,0.0
458,UNC3524: Eye Spy on Your Email,0,0,0,0.0
459,EU 31st session of the Commission on Crime Prevention and Criminal Justice United Nations on Drugs and Crime themed malware,3,0,1,0.0
460,Hive ransomware gets upgrades in Rust,0,0,0,0.0
461,Ragnar Locker Ransomware Targeting the Energy Sector,0,0,0,0.0
462,The Curious Case of “Monti” Ransomware: A Real-World Doppelganger BlackBerry Logo,0,0,0,0.0
463,Preventing Black Basta Ransomware in 2022,0,0,0,0.0
464,Scraper: Talos Website,11,1,1,0.0
465,New Iranian APT data extraction tool,2,1,1,0.0
466,Scraper: Breaking Down the China Chopper Web Shell - Part I,0,0,0,0.0
467,Scraper: Rising Tide: Chasing the Currents of Espionage in the South China Sea,6,1,1,0.0
468,Scraper: Malicious WhatsApp mod distributed through legitimate apps,0,0,0,0.0
469,"Scraper: DeftTorero: tactics, techniques and procedures of intrusions revealed",1,0,1,0.0
470,Scraper: Ransomware Actor Abuses Genshin Impact Anti-Cheat Driver to Kill Antivirus,0,0,0,0.0
471,Scraper: LV Ransomware Exploits ProxyShell in Attack on a Jordan-based Company,8,1,1,0.0
472,"Scraper: Black Basta Ransomware Gang Infiltrates Networks via QAKBOT, Brute Ratel, and Cobalt Strike",3,1,1,0.0
473,Scraper: DiceyF deploys GamePlayerFramework in online casino development studio,2,1,1,0.0
474,Scraper: Black Basta Ransomware | Attacks Deploy Custom EDR Evasion Tools Tied to FIN7 Threat Actor - SentinelOne,2,0,1,0.0
475,Ransomware wave RansomBoggs in Ukraine,0,0,0,0.0
476,InfoSec Handlers Diary Blog - SANS Internet Storm Center,0,0,0,0.0
477,Threat Analysis: MSI - Masquerading as a Software Installer,0,0,0,0.0
478,Always Another Secret: Lifting the Haze on China-nexus Espionage in Southeast Asia | Mandiant,0,0,0,0.0
479,Unmasking MirrorFace: Operation LiberalFace targeting Japanese political entities | WeLiveSecurity,3,1,1,0.0
480,Unraveling the techniques of Mac ransomware,0,0,0,0.0
481,Unwrapping Ursnifs Gifts - The DFIR Report,69,1,1,0.0
482,IcedID infection from fake Microsoft Teams page,0,0,0,0.0
483,No Pineapple! –DPRK Targeting of Medical Research and Technology Sector,9,1,1,0.0
484,Untangling KNOTWEED: European private-sector offensive actor using 0-day exploits,0,0,0,0.0
485,Disrupting SEABORGIUM’s ongoing phishing operations,0,0,0,0.0
486,Gamaredon APT targets Ukrainian government agencies in new campaign,1,0,1,0.0
487,In the footsteps of the Fancy Bear: PowerPoint mouse-over event abused to deliver Graphite implants,0,0,0,0.0
488,Under the hood of a Doppelgänger,3,1,1,0.0
489,Amazon‑themed campaigns of Lazarus in the Netherlands and Belgium,0,0,0,0.0
490,DTrack activity targeting Europe and Latin America,0,0,0,0.0
491,The Unintentional Leak: A glimpse into the attack vectors of APT37,0,0,0,0.0
492,Bad magic: new APT found in the area of Russo-Ukrainian conflict,1,0,1,0.0
493,Cloud Atlas targets entities in Russia and Belarus amid the ongoing war in Ukraine,2,1,1,0.0
494,"Iran: State-Backed Hacking of Activists, Journalists, Politicians",0,0,0,0.0
495,Mustang Panda APT Group Uses European Commission-Themed Lure to Deliver PlugX Malware,2,1,1,0.0
496,Suspected Chinese Threat Actors Exploiting FortiOS Vulnerability (CVE-2022-42475),0,0,0,0.0
497,Dossier Center Investigation: Prigozhin's Cyber ​​Troops,18,1,1,0.0
498,Prometei botnet improves modules and exhibits new capabilities in recent updates,10,1,1,0.0
499,New MortalKombat ransomware and Laplas Clipper malware threats deployed in financially motivated campaign,1,0,1,0.0
500,Mustang Panda Uses the Russian-Ukrainian War to Attack Europe and Asia Pacific Targets,11,1,1,0.0
501,NOBELIUM Uses Poland's Ambassador’s Visit to the U.S. to Target EU Governments Assisting Ukraine,1,0,1,0.0
502,"Blind Eagle Deploys Fake UUE Files and Fsociety to Target Colombia's Judiciary, Financial, Public, and Law Enforcement Entities",3,1,1,0.0
503,DarkBit Ransomware Targets Israel with Command-Line Options and Optimized Encryption Routines,0,0,0,0.0
504,"NewsPenguin, a Previously Unknown Threat Actor, Targets Pakistan with Advanced Espionage Tool",2,1,1,0.0
505,Gamaredon (Ab)uses Telegram to Target Ukrainian Organizations,26,1,1,0.0
506,CrowdStrike Falcon Platform Detects and Prevents Active Intrusion Campaign Targeting 3CXDesktopApp Customers,0,0,0,0.0
507,WIP26 Espionage | Threat Actors Abuse Cloud Infrastructure in Targeted Telco Attacks,1,0,1,0.0
508,Minas – on the way to complexity,0,0,0,0.0
509,CloudWizard APT: the bad magic story goes on,1,0,1,0.0
510,AA23-136A StopRansomware BianLian Ransomware Group,0,0,0,0.0
511,Void Rabisu’s Use of RomCom Backdoor Shows a Growing Shift in Threat Actors’ Goals,2,1,1,0.0
512,Midnight Blizzard conducts targeted social engineering over Microsoft Teams,0,0,0,0.0
513,Void Rabisu Targets Female Political Leaders with New Slimmed-Down ROMCOM Variant,0,0,0,0.0
514,ToddyCat: Keep calm and check logs,0,0,0,0.0
515,Windows version of the Bibi Wiper by BiBiGun,0,0,0,0.0
516,MuddyWater eN-Able spear-phishing with new TTPs,4,1,1,0.0
517,Sandworm Disrupts Power in Ukraine Using a Novel Attack Against Operational Technology,5,1,1,0.0
518,Barracuda Email Security Gateway Appliance (ESG) Vulnerability,11,1,1,0.0
519,Peach Sandstorm delivers FalseFont to defense sector,0,0,0,0.0
520,Seedworm: Iranian Hackers Target Telecoms Orgs in North and East Africa,7,1,1,0.0
521,Gaza Cybergang | Unified Front Targeting Hamas Opposition,0,0,0,0.0
522,Cutting Edge: Suspected APT Targets Ivanti Connect Secure VPN in New Zero-Day Exploitation,0,0,0,0.0
523,New TTPs observed in Mint Sandstorm campaign targeting high-profile individuals at universities and research orgs,0,0,0,0.0
524,Russian threat group COLDRIVER expands its targeting of Western officials to include the use of malware,0,0,0,0.0
525,ESET takes part in global operation to disrupt the Grandoreiro banking trojan,13,1,1,0.0
526,Turkish espionage campaigns in the Netherlands,5,1,1,0.0
527,The Nine Lives of Commando Cat: Analysing a Novel Malware Campaign Targeting Docker,2,1,1,0.0
528,Thanksgiving 2023 security incident,2,1,1,0.0
529,HrServ – Previously unknown web shell used in APT attack,0,0,0,0.0
530,BlueNoroff: new Trojan attacking macOS users,0,0,0,0.0
531,A hack in hand is worth two in the bush,0,0,0,0.0
532,StripedFly: Perennially flying under the radar,0,0,0,0.0
533,Exploring the Latest Mispadu Stealer Variant,0,0,0,0.0
534,ApateWeb: An Evasive Large-Scale Scareware and PUP Delivery Campaign,10,1,1,0.0
535,PAPERWALL Chinese Websites Posing as Local News Outlets Target Global Audiences with Pro-Beijing Content,9,1,1,0.0
536,PORTAL KOMBAT A structured and coordinated pro-Russian propaganda network,13,1,1,0.0
537,Zip uploaded from Iran exploiting cve-2023-38831,0,0,0,0.0
538,Russia-Aligned TAG-70 Targets European Government and Military Mail Servers in New Espionage Campaign,8,1,1,0.0
539,CVE-2024-21412: Water Hydra Targets Traders With Microsoft Defender SmartScreen Zero-Day,5,1,1,0.0
540,Earth Preta Campaign Uses DOPLUGS to Target Asia,18,1,1,0.0
541,Magnet Goblin Targets Publicly Facing Servers Using 1-Day Vulnerabilities,5,1,1,0.0
542,From Albania to the Middle East: The Scarred Manticore is Listening,0,0,0,0.0
543,Ongoing ITG05 operations leverage evolving malware arsenal in global campaigns,4,1,1,0.0
544,Security Brief: TA450 Uses Embedded Links in PDF Attachments in Latest Campaign,0,0,0,0.0
545,Inside the Rabbit Hole: BunnyLoader 3.0 Unveiled,8,1,1,0.0
546,Starry Addax targets human rights defenders in North Africa with new malware,0,0,0,0.0
547,ScrubCrypt Deploys VenomRAT with an Arsenal of Plugins,0,0,0,0.0
548,The New Version of JsOutProx is Attacking Financial Institutions in APAC and MENA via GitLab Abuse,4,1,1,0.0
549,ArcaneDoor - New espionage-focused campaign found targeting perimeter network devices,60,1,1,0.0
550,Securonix Threat Research Security Advisory: Analysis of Ongoing FROZEN#SHADOW Attack Campaign Leveraging SSLoad Malware and RMM Software for Domain Takeover,4,1,1,0.0
551,ToddyCat is making holes in your infrastructure,2,1,1,0.0
552,Eight Arms to Hold You: The Cuttlefish Malware,1,0,1,0.0
553,Analysis and Detection of CLOUD#REVERSER: An Attack Involving Threat Actors Compromising Systems Using A Sophisticated Cloud-Based Malware,1,0,1,0.0
554,Tiny BackDoor Goes Undetected – Suspected Turla leveraging MSBuild to Evade detection,0,0,0,0.0
555,Ikaruz Red Team | Hacktivist Group Leverages Ransomware for Attention Not Profit,0,0,0,0.0
556,Operation Crimson Palace: Sophos threat hunting unveils multiple clusters of Chinese state-sponsored activity targeting Southeast Asian government,38,1,1,0.0
557,New North-Korean based backdoor packs a punch,1,0,1,0.0
558,MuddyWater replaces Atera by custom MuddyRot implant in a recent campaign,2,1,1,0.0
559,A Dive into Earth Baku’s Latest Campaign,3,1,1,0.0
560,Predator Spyware Infrastructure Returns Following Exposure and Sanctions,8,1,1,0.0
561,Threat analysis: Beast Ransomware,0,0,0,0.0
562,Beyond the Surface: the evolution and expansion of the SideWinder APT group,0,0,0,0.0
563,BlueAlpha Abuses Cloudflare Tunneling Service for GammaDrop Staging Infrastructure,1,0,1,0.0
564,"ICS Threat Analysis: New, Experimental Malware Can Kill Engineering Processes",1,0,1,0.0
565,Phorpiex - Downloader Delivering Ransomware,1,0,1,0.0
566,UAC-0063: Cyber Espionage Operation Expanding from Central Asia,0,0,0,0.0
567,CVE-2025-0411: Ukrainian Organizations Targeted in Zero-Day Campaign and Homoglyph Attacks,1,0,1,0.0
568,Operation AkaiRyū: MirrorFace invites Europe to Expo 2025 and revives ANEL backdoor,5,1,1,0.0
569,10 Things I Hate About Attribution: RomCom vs. TransferLoader,0,0,0,0.0
570,Houken seeking a path by living on the edge with zero-days,8,1,1,0.0
571,"OSINT - Dridex Actors Get In the Ransomware Game With ""Locky""",0,0,0,1.0
572,OSINT - Android-based Smart TVs Hit By Backdoor Spread Via Malicious App,0,0,0,1.0
573,OSINT - Botnet bruteforcing Point Of Sale terminals via Remote Desktop,1,0,1,1.0
574,OSINT - ATMZombie: banking trojan in Israeli waters,4,1,1,1.0
575,"Malspam collection (2016-03-02) - Locky, TeslaCrypt",30,1,1,1.0
576,OSINT - LOCKY DGA THREAT ACTOR(S),4,0,1,1.0
577,Dridex (2016-03-07),10,1,1,1.0
578,TeslaCrypt (2016-03-08),4,1,1,1.0
579,BadMirror: New Android Malware Family Spotted by SherlockDroid,0,0,0,1.0
580,OSINT - New OS X Ransomware KeRanger Infected Transmission BitTorrent Client Installer,0,0,0,1.0
581,OSINT -  Clickjacking Campaign Plays on European Cookie Law,0,0,0,1.0
582,Dridex (2016-03-09) - botnet 220,24,1,1,1.0
583,"Malspam (2016-03-09) - Locky, TeslaCrypt",20,1,1,1.0
584,OSINT - The Cerber Ransomware not only Encrypts Your Data But Also Speaks to You,0,0,0,1.0
585,Cerber Ransomware,0,0,0,1.0
586,"Malspam (2016-03-10) - Locky, TeslaCrypt",9,1,1,1.0
587,OSINT - Android banking trojan masquerades as Flash Player and bypasses 2FA,3,1,1,1.0
588,OSINT -  Death Comes Calling: Thanatos/Alphabot Trojan Hits the Market,1,0,1,1.0
589,'Surprise' Ransomware (2016-03-11),0,0,0,1.0
590,"Malspam (2016-03-14) - Locky, TeslaCrypt",26,1,1,1.0
591,Potential SpamBots (2016-03-15),7,1,1,1.0
592,Dridex botnet 222 (20160315),6,1,1,1.0
593,Dridex of the day (2016-03-16) - botnet 120,41,1,1,1.0
594,OSINT - Malicious iBanking application with new uninstall countermeasures,0,0,0,1.0
595,Locky (2016-03-16),8,1,1,1.0
596,OSINT - AceDeceiver: First iOS Trojan Exploiting Apple DRM Design Flaws to Infect Any iOS Device,0,0,0,1.0
597,OSINT - STOP SCANNING MY MACRO,0,0,0,1.0
598,OSINT - Petya Ransomware,0,0,0,1.0
599,OSINT - Evolution of SamSa Malware Suggests New Ransomware Tactics In Play,0,0,0,1.0
600,OSINT - PETYA Crypto-ransomware Overwrites MBR to Lock Users Out of Their Computers,0,0,0,1.0
601,OSINT - New self-protecting USB trojan able to avoid detection,0,0,0,1.0
602,OSINT - SURGE IN SPAM CAMPAIGN DELIVERING LOCKY RANSOMWARE DOWNLOADERS,4,1,1,1.0
603,OSINT - McAfee Labs Threat Advisory Ransomware-Locky,4,1,1,1.0
604,OSINT - Malware Employs PowerShell to Infect Systems,1,0,1,1.0
605,OSINT - TREASUREHUNT: A CUSTOM POS MALWARE TOOL,2,1,1,1.0
606,Locky of the day (20160328) -  affid=3,6,1,1,1.0
607,OSINT - Meet Remaiten â€“ a Linux bot on steroids targeting routers and potentially other IoT devices,3,1,1,1.0
608,Malspam (2016-04-05) - TeslaCrypt,18,1,1,1.0
609,Dridex (2016-04-06) - botnet 122,23,1,1,1.0
610,Kegotip downloader,1,0,1,1.0
611,PWS: Win32/Kegotip.C,8,1,1,1.0
612,Information stealer: Fareit,1,0,1,1.0
613,OSINT - Locky: the encryptor taking the world by storm,0,0,0,1.0
614,OSINT - ModPOS: A Framework Lurking in Point-of-Sale System Kernels,2,1,1,1.0
615,OSINT - Locky Ransomware Domains â€“ Followup Analysis Uncovers 130 New Indicators,10,1,1,1.0
616,OSINT - Mobile Devices Used to Execute DNS Malware Against Home Routers,0,0,0,1.0
617,OSINT - New Locky Variant Implements Evasion Techniques,0,0,0,1.0
618,Rokku Ransomware shows possible link with Chimera,0,0,0,1.0
619,Dridex (2016-04-12),5,1,1,1.0
620,OSINT - Retefe is back in town,1,0,1,1.0
621,New ransomware,1,0,1,1.0
622,OSINT - New Crypto-Ransomware JIGSAW Plays Nasty Games,0,0,0,1.0
623,OSINT - Your Package Has Been Successfully Encrypted: TeslaCrypt 4.1A and the Malware Attack Chain,0,0,0,1.0
624,"CryptXXX: New Ransomware From the Actors Behind Reveton, Dropping Via Angler",2,1,1,1.0
625,"OSINT - â€œOperation C-Majorâ€ Actors Also Used Android, BlackBerry Mobile Spyware Against Targets",0,0,0,1.0
626,OSINT - Teaching an old RAT new tricks,0,0,0,1.0
627,OSINT - powershell used for spreading trojan.laziok through google docs,1,0,1,1.0
628,OSINT - New FAREIT Strain Abuses PowerShell,0,0,0,1.0
629,OSINT - Macro Malware Employs Advanced Obfuscation to Avoid Detection,0,0,0,1.0
630,"OSINT - New Poison Ivy Activity Targeting Myanmar, Asian Countries",0,0,0,1.0
631,OSINT - New Downloader for Locky,1,0,1,1.0
632,Malspam (2016-04-28) - Locky,11,1,1,1.0
633,Malspam (2016-04-28) - Locky (#2),16,1,1,1.0
634,"Malspam (2016-04-28) - #3 (unknown payload, not accessible)",0,0,0,1.0
635,OSINT - PLATINUM Targeted attacks in South and Southeast Asia,5,1,1,1.0
636,"OSINT -  Over 100,000 South Korean Users Affected by BlackMoon Campaign",8,1,1,1.0
637,OSINT - MULTIGRAIN â€“ Point of Sale Attackers Make an Unhealthy Addition to the Pantry,0,0,0,1.0
638,OSINT - Turbo Twist: Two 64-bit Derusbi Strains Converge,0,0,0,1.0
639,Fake scan campaings (20160505 - 20160507) using docm - Dridex,3,1,1,1.0
640,OSINT - New Infostealer Trojan uses Fiddler Proxy & Json.NET,0,0,0,1.0
641,OSINT - Exploring CVE-2015-2545 and its users,6,1,1,1.0
642,OSINT - Chinese-language Ransomware Makes An Appearance,0,0,0,1.0
643,"OSINT -  Hancitor and Ruckguv Reappear, Updated and With Vawtrak On Deck",0,0,0,1.0
644,OSINT - Bolek: Leaked Carberp KBot Source Code Complicit in New Phishing Campaigns,10,1,1,1.0
645,Locky of the day (20160520),1,0,1,1.0
646,OSINT - Targeted Attacks against Banks in the Middle East,0,0,0,1.0
647,OSINT - Dogspectus Ransomware Analysis,0,0,0,1.0
648,OSINT - New Wekby Attacks Use DNS Requests As Command and Control Mechanism,0,0,0,1.0
649,Malspam - Locky - 2016-05-26 (.docm),6,1,1,1.0
650,Malspam - 2016-05-27 - Locky - .docm,15,1,1,1.0
651,A Universal Windows Bootkit An analysis of the MBR bootkit referred to as â€œHDRootâ€,0,0,0,1.0
652,"OSINT - CryptXXX Ransomware Learns the Samba, Other New Tricks With Version 3.100",1,0,1,1.0
653,"OSINT - Lame proxychanger, apparently related to a clickfraud botnet.",1,0,1,1.0
654,OSINT - LinkedIn information used to spread banking malware in the Netherlands,1,0,1,1.0
655,OSINT -  Communications of the Bolek Trojan,0,0,0,1.0
656,OSINT - Reverse-engineering DUBNIUM,0,0,0,1.0
657,OSINT - Setting Sights On Retail: AbaddonPOS Now Targeting Specific POS Software,2,1,1,1.0
658,Malspam (2016-06-22) - .js in .zip - Locky is back,46,1,1,1.0
659,OSINT - The Curious Case of an Unknown Trojan Targeting German-Speaking Users,0,0,0,1.0
660,Malspam 2016-06-24 (Locky),25,1,1,1.0
661,"OSINT - Doh! New ""Bart"" Ransomware from Threat Actors Spreading Dridex and Locky",0,0,0,1.0
662,Malspam 2016-06-27,35,1,1,1.0
663,Malspam 2016-06-28 (Locky campaign subject: 'Updated'),31,1,1,1.0
664,OSINT - Retefe banking Trojan targets UK banking customers,0,0,0,1.0
